@relation 'virus-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.trees.J48 -F 5 -T 0.01 -R 1 -- -C 0.25 -M 2-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute AddressSub numeric
@attribute InnerSub numeric
@attribute RemoteSub numeric
@attribute QuotientStartNodeId numeric
@attribute QuotientRemoteSub numeric
@attribute QuotientStartGraphNodes numeric
@attribute StartNondirectedGraph numeric
@attribute SumofAbExterSub numeric
@attribute SumofAbInnerSub numeric
@attribute QuotientofAbsolutedNodes numeric
@attribute SumofFinalExterSub numeric
@attribute SumofFinalInnerSub numeric
@attribute MaxGraphNodes numeric
@attribute result {virus,begnign}

@data
4,0,0,0,0,1,5,0,0,0,0,0,0,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
76,0,6,9.666667,38.67,1.41,232,0,0,0,149,0,165,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
5,0,0,0,0,1,6,0,0,0,0,0,0,virus
6,0,0,0,0,0,0,0,0,1,0,0,1,virus
11,1,7,3.153846,5.86,1.08,38,1,0,13.67,20,0,38,virus
0,0,0,0,0,1,3,0,0,0,2,0,0,virus
3433,0,400,0,9.58,0,0,0,0,8.81,0,0,477,virus
89,132,1,2.737864,282,2.85,270,0,6,40.29,56,26,203,virus
108,141,1,3.12605,372,1.88,361,1,1,124,113,41,208,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
7,0,0,0,0,1.6,5,0,0,8,0,0,5,virus
4769,0,585,1.000187,9.15,5355,1,0,0,8.15,0,0,548,virus
0,0,2,0,1,0,0,0,0,1,0,0,1,virus
5,0,0,0,0,1,6,0,0,0,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
315,0,127,1.002262,3.49,2.07,407,0,0,15.28,0,0,214,virus
1,0,0,0,0,0,0,0,0,1,0,0,0,virus
265,148,5,3.653595,111.8,2.2,529,4,6,29.42,131,34,254,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
900,2095,473,0,8.68,0,0,0,143,8.99,0,237,587,virus
220,188,6,2.506726,93.17,3.8,475,1,11,9.81,142,25,166,virus
2688,0,361,0,8.45,0,0,0,0,7.55,0,0,427,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
11,123,5,7.285714,40.8,1.21,194,0,2,102,62,32,169,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
25,0,0,5.647059,0,1.3,94,0,0,0,70,0,74,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
127,197,0,1.970297,0,56.86,333,0,2,9.48,65,27,203,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,2,0,2,1,0,0,1,0,0,1,virus
4,0,0,0,0,2.5,2,0,0,5,0,0,2,virus
76,0,36,1.008929,3.14,1.4,102,0,0,10.27,0,0,81,virus
2,0,0,3,0,1.5,2,0,0,3,0,0,2,virus
146,27,60,0,4.07,0,0,0,0,6.78,0,9,119,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,7,0,1.14,1,8,0,0,0,0,0,0,virus
1,0,0,2,0,2,1,0,0,1,0,0,1,virus
120,0,69,0,2.74,0,0,0,0,7.56,0,0,87,virus
287,0,0,0,0,0,0,0,0,16.88,0,0,134,virus
29,0,0,15,0,1.15,26,0,0,15,0,0,26,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
13,0,3,50,16.67,1.25,50,0,0,0,33,0,40,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
676,0,145,0,5.66,0,0,0,0,21.61,0,0,537,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
9555,164,486,1.771525,21.63,700.93,7316,3,62,3.8,222,1,123,virus
4523,0,0,0,0,0,0,0,0,13.07,0,0,427,virus
1,0,0,0,0,0,0,0,0,1,0,0,0,virus
1281,0,0,1.000781,0,1282,1,0,0,10.86,0,0,291,virus
11,0,0,0,0,0,0,0,0,0,0,0,0,virus
111,0,0,2.294118,0,23.4,12,0,0,1.72,5,0,23,virus
105,230,9,4.085271,58.56,3.82,408,13,4,10.54,95,54,138,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
137,0,21,0,9.05,1.01,189,0,0,190,31,0,189,virus
139,232,124,0,5.27,0,0,0,6,9.46,0,47,229,virus
437,291,95,0,9.51,903,1,0,39,11.15,14,29,488,virus
84,225,27,2.655172,17.11,1.47,446,4,5,42,119,48,315,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
283,191,2,3.2,304,6.08,460,27,3,5.07,80,38,100,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
39,0,16,2.333333,3.5,28,55,0,0,56,0,0,38,virus
61,0,3,1.484375,31.67,31.67,3,11,0,2.57,19,0,13,virus
34,1,8,2.166667,11.38,3.5,85,0,0,91,47,0,37,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,2,0,1,2,0,0,0,0,0,0,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
799,186,0,5.754098,0,6.93,1011,0,3,27.71,66,35,849,virus
72,0,6,10.904762,38.17,1.4,229,0,0,0,150,0,164,virus
8,0,0,1.125,0,9,1,0,0,1,0,0,1,virus
5,0,3,0,5.33,0,0,4,0,3.2,4,0,5,virus
756,194,2,1.622585,546,11.14,586,18,3,2.44,98,38,108,virus
