@relation 'virus-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute header.e_phnum numeric
@attribute header.e_shnum numeric
@attribute SHT_DYNSYM.header.sh_link numeric
@attribute PT_LOAD1.header.p_vaddr numeric
@attribute PT_LOAD2.header.p_offset numeric
@attribute result {virus,begnign}

@data
6,30,5,134512640,3524,virus
6,30,5,134512640,4328,virus
5,21,4,134512640,6976,virus
6,30,5,134512640,4396,virus
5,21,4,134512640,12104,virus
6,29,5,134512640,3324,virus
6,30,5,134512640,2948,virus
5,23,4,134512640,4596,virus
6,30,5,134512640,3676,virus
6,26,5,134512640,3048,virus
6,29,5,134512640,2300,virus
6,30,5,134512640,4188,virus
6,30,5,134512640,3344,virus
6,30,5,134512640,3436,virus
6,30,5,134512640,4148,virus
6,26,5,134512640,18968,virus
6,30,5,134512640,8004,virus
5,23,4,134512640,2260,virus
5,23,4,134512640,2792,virus
6,26,5,134512640,2240,virus
6,29,5,134512640,3164,virus
6,30,5,134512640,2528,virus
6,29,5,134512640,3176,virus
5,23,4,134512640,5464,virus
6,30,5,134512640,3900,virus
6,30,5,134512640,6944,virus
6,29,5,134512640,8504,virus
5,22,4,134512640,10072,virus
6,26,5,134512640,1476,virus
6,26,5,134512640,1636,virus
1,8,0,134516736,0,virus
6,30,5,134512640,7904,virus
6,26,5,134512640,4272,virus
6,30,5,134512640,6272,virus
6,30,5,134512640,2688,virus
7,34,5,134512640,4936,virus
6,29,5,134512640,7884,virus
6,29,5,134512640,1276,virus
5,23,4,134512640,3812,virus
6,31,5,134512640,4444,virus
6,34,5,134512640,4700,virus
6,29,5,134512640,2420,virus
3,22,0,134512640,783296,virus
6,30,5,134512640,5632,virus
6,34,5,134512640,8728,virus
3,19,0,134512640,425280,virus
6,30,5,134512640,4256,virus
6,29,5,134512640,12044,virus
0,256,0,0,0,virus
6,34,5,134512640,1324,virus
6,25,5,134512640,217600,virus
7,26,5,134508544,69632,virus
5,22,4,134512640,6152,virus
6,23,5,134512640,1332,virus
6,26,5,134512640,17484,virus
6,30,5,134512640,3412,virus
5,22,4,134512640,3916,virus
6,29,5,134512640,3468,virus
2,8,0,134512640,6628,virus
1,8,0,134512640,0,virus
5,21,4,134512640,16856,virus
1,7,0,134516736,0,virus
6,30,5,134512640,5344,virus
