@relation 'virus-weka.filters.unsupervised.attribute.Remove-R74,76,82-83,92-98-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute SECUR32.DLL {0,1}
@attribute SHLWAPI.DLL {0,1}
@attribute ImageBase numeric
@attribute CheckSum numeric
@attribute SizeOfStackReserve numeric
@attribute IMAGE_DIRECTORY_ENTRY_SECURITY.Size numeric
@attribute IMAGE_DIRECTORY_ENTRY_DEBUG.Size numeric
@attribute text.PointerToRelocations numeric
@attribute rsrc.Characteristics numeric
@attribute RT_MESSAGETABLE numeric
@attribute RT_GROUP_ICON numeric
@attribute RT_VERSION numeric
@attribute result {virus,begnign}

@data
0,1,16777216,995892,262144,0,56,0,1073741888,0,18,1,begnign
0,0,16777216,13290,262144,0,28,0,1073741888,0,1,1,begnign
0,0,16777216,101082,262144,0,28,0,1073741888,0,1,1,begnign
0,0,16777216,157095,262144,0,28,0,1073741888,0,9,1,begnign
0,0,16777216,20299,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1530003456,93070,262144,0,28,0,1073741888,0,0,1,begnign
0,0,16777216,50477,262144,0,28,0,1073741888,0,1,1,begnign
0,0,1522597888,51450,262144,0,28,0,1073741888,0,0,1,begnign
0,0,16777216,330558,262144,0,28,0,1073741888,0,3,1,begnign
0,0,268435456,52807,262144,9592,0,0,1073741888,1,0,1,begnign
0,1,16777216,289229,262144,9592,28,0,1073741888,0,3,1,begnign
0,0,1927217152,341118,262144,0,56,0,1073741888,0,0,1,begnign
0,0,4194304,91871,262144,9592,28,0,1073741888,0,0,1,begnign
0,1,16777216,752018,262144,9592,56,0,1073741888,0,2,1,begnign
0,0,4194304,392080,262144,9592,28,0,1073741888,1,4,1,begnign
0,0,1927217152,360861,262144,0,56,0,1073741888,0,0,1,begnign
0,1,16777216,289229,262144,9592,28,0,1073741888,0,3,1,begnign
0,0,4194304,392080,262144,9592,28,0,1073741888,1,4,1,begnign
0,0,1174667264,85629,262144,0,28,0,1073741888,0,0,1,begnign
0,1,1492844544,1900756,262144,0,28,0,1073741888,0,0,1,begnign
0,1,1902051328,510572,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1758593024,205684,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1901330432,270989,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1900937216,130655,262144,0,28,0,1073741888,0,0,1,begnign
0,1,1994194944,90451,262144,0,28,0,1073741888,0,0,1,begnign
